----------------------------------------------------------------------------------------------------
Execution: 0
Generation 19 | Average Generation Fitness: 0.0031553050060560235 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'υπαρχουσι αλεξανδρος ουδις υπαρχουσι'
Generation 20 | Average Generation Fitness: 0.003136923839049272 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'προσοδους αλεξανδρος ουδις προσοδους'
Generation 21 | Average Generation Fitness: 0.003107513971838471 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'κοινης αλεξανδρος ουδις κοινης'
Generation 22 | Average Generation Fitness: 0.0030413417706141666 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'πολεμιοις αλεξανδρος ουδις πολεμιοις'
Generation 23 | Average Generation Fitness: 0.003041341770614166 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'παρωρειαν αλεξανδρος ουδις παρωρειαν'
Generation 24 | Average Generation Fitness: 0.003022960603607414 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'κοινης αλεξανδρος ουδις κοινης'
Generation 25 | Average Generation Fitness: 0.002927378535172309 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'προσοδους αλεξανδρος ουδις προσοδους'
Generation 26 | Average Generation Fitness: 0.0029494359355804107 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'θισαματας αλεξανδρος ουδις θισαματας'
Generation 27 | Average Generation Fitness: 0.002927378535172309 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'υπαρχουσι αλεξανδρος ουδις υπαρχουσι'
Generation 28 | Average Generation Fitness: 0.0028685588007507047 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'κοινης αλεξανδρος ουδις κοινης'
Generation 29 | Average Generation Fitness: 0.0029200260683696078 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'κοινης αλεξανδρος ουδις κοινης'
Generation 30 | Average Generation Fitness: 0.0028612063339480036 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'συντελεσασθαι αλεξανδρος ουδις συντελεσασθαι'
