----------------------------------------------------------------------------------------------------
Execution: 0
Generation 47 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παρασχεσθαι αλεξανδρος ουδις παρασχεσθαι'
Generation 48 | Average Generation Fitness: 0.0025513356609565847 | Best Fitness: 0.005011780968170354 | Population Length: 200| Best DNA: 'διοσκουριδας αλεξανδρος ουδις διοσκουριδας'
Generation 49 | Average Generation Fitness: 0.002546846977991496 | Best Fitness: 0.006562245807698485 | Population Length: 200| Best DNA: 'κρητινη αλεξανδρος ουδις κρητινη'
Generation 50 | Average Generation Fitness: 0.0026263164978231044 | Best Fitness: 0.008846748503548699 | Population Length: 200| Best DNA: 'εις αλεξανδρος ουδις εις'
Generation 51 | Average Generation Fitness: 0.0025469568015276767 | Best Fitness: 0.004679232653069962 | Population Length: 200| Best DNA: 'θεω αλεξανδρος ουδις θεω'
------------------------------------------------
Total Generations: 51
Total Population: 200   ---   Mutation Rate: 0.01  ---  Crossover Probability: 0.1
Average Fitness: 0.0025469568015276767  ---  Best Overall Fitness: 0.012336470258379804
----------------------------------------------------------------------------------------------------------------------------------------------------
Execution: 3
Generation 1 | Average Generation Fitness: 0.00463460125337822 | Best Fitness: 0.008718005509107321 | Population Length: 200| Best DNA: 'περι αλεξανδρος ουδις περι'
